"Name","InstallPath"
"7-Zip 24.09 (x64)","E:\7-Zip\"
"DBeaver 25.1.3","D:\DBeaver"
"Docker Desktop","C:\Program Files\Docker\Docker"
"Git","D:\Git\Git\"
"Microsoft Office 家庭和学生版 2021 - zh-cn","C:\Program Files\Microsoft Office"
"Microsoft Visual Studio 2010 Tools for Office Runtime (x64)","C:\Program Files\Common Files\Microsoft Shared\VSTO\10.0\"
"Microsoft Visual Studio 2010 Tools for Office Runtime (x64)语言包 - 简体中文","C:\Program Files\Common Files\Microsoft Shared\VSTO\10.0\"
"Mozilla Firefox (x64 zh-CN)","C:\Program Files\Mozilla Firefox"
"微软OfficePLUS","C:\Program Files\Microsoft OfficePLUS"
"PremiumSoft Navicat Premium 17.1","D:\Navicat\Navicat Premium 17\"
"MySQL Server 8.0","C:\Program Files\MySQL\MySQL Server 8.0\"
"Java(TM) SE Development Kit 24.0.2 (64-bit)","D:\Oracle JDK\"
"Workflow Manager Tools 1.0 for Visual Studio","C:\Program Files (x86)\Workflow Manager Tools\1.0\"
"Workflow Manager Client 1.0","C:\Program Files\Reference Assemblies\Microsoft\Workflow Manager\1.0\"
"Raspberry Pi Imager","H:\树莓派\imager_data\Raspberry Pi Imager\"
"Microsoft Visual Studio Installer","""C:\Program Files (x86)\Microsoft Visual Studio\Installer"""
"CUBLAS Runtime","D:\CUDA"
"CUBLAS Development","D:\CUDA"
"NVIDIA CUDA Development 12.8","D:\CUDA"
"NVIDIA CUDA Documentation 12.8","D:\CUDA"
"CUDART Runtime","D:\CUDA"
"NVIDIA CUDA Runtime 12.8","D:\CUDA"
"NVIDIA CUDA Toolkit 12.8","D:\CUDA"
"CUDA Profiler API","D:\CUDA"
"${{arpDisplayName}}","D:\CUDA"
"CUFFT Development","D:\CUDA"
"cuobjdump","D:\CUDA"
"CUPTI","D:\CUDA"
"CURAND Runtime","D:\CUDA"
"CURAND Development","D:\CUDA"
"CUSOLVER Runtime","D:\CUDA"
"CUSOLVER Development","D:\CUDA"
